IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.66.175.250,4,3,0.25,222.61,0.00,N/A
172.67.66.207,4,3,0.25,224.30,0.00,N/A
104.18.139.147,4,3,0.25,225.11,0.00,N/A
104.18.251.157,4,3,0.25,229.18,0.00,N/A
104.20.1.250,4,3,0.25,230.04,0.00,N/A
172.65.5.105,4,3,0.25,232.12,0.00,N/A
104.20.34.12,4,3,0.25,233.63,0.00,N/A
172.66.138.35,4,3,0.25,236.38,0.00,N/A
172.66.139.63,4,3,0.25,241.06,0.00,N/A
104.20.35.62,4,3,0.25,241.67,0.00,N/A
104.20.3.244,4,3,0.25,248.62,0.00,N/A
172.65.26.35,4,3,0.25,254.20,0.00,N/A
172.67.214.67,4,1,0.75,167.70,0.00,N/A
104.20.49.211,4,3,0.25,257.56,0.00,N/A
104.25.68.63,4,3,0.25,300.51,0.00,N/A
172.64.76.219,4,3,0.25,320.81,0.00,N/A
162.159.24.221,4,2,0.50,82.82,0.00,N/A
104.18.33.136,4,2,0.50,84.36,0.00,N/A
172.64.47.127,4,2,0.50,88.57,0.00,N/A
162.159.56.148,4,2,0.50,92.24,0.00,N/A
172.64.42.138,4,2,0.50,97.89,0.00,N/A
172.64.159.148,4,2,0.50,103.09,0.00,N/A
172.64.158.108,4,2,0.50,113.12,0.00,N/A
172.64.46.217,4,2,0.50,116.83,0.00,N/A
172.64.50.163,4,2,0.50,121.99,0.00,N/A
172.64.229.74,4,2,0.50,128.22,0.00,N/A
172.64.49.173,4,2,0.50,132.99,0.00,N/A
172.64.52.1,4,2,0.50,133.41,0.00,N/A
104.18.247.188,4,2,0.50,141.04,0.00,N/A
104.19.116.57,4,2,0.50,141.37,0.00,N/A
104.17.149.228,4,2,0.50,143.46,0.00,N/A
104.18.236.142,4,2,0.50,146.67,0.00,N/A
104.18.220.13,4,2,0.50,146.96,0.00,N/A
104.18.56.212,4,2,0.50,149.21,0.00,N/A
104.19.144.240,4,2,0.50,149.54,0.00,N/A
104.19.238.77,4,1,0.75,167.67,0.00,N/A
104.17.169.121,4,2,0.50,150.65,0.00,N/A
104.16.135.93,4,2,0.50,150.86,0.00,N/A
104.19.140.252,4,2,0.50,151.81,0.00,N/A
104.19.143.9,4,2,0.50,152.60,0.00,N/A
104.16.130.173,4,2,0.50,152.74,0.00,N/A
104.19.241.74,4,2,0.50,152.93,0.00,N/A
104.19.142.174,4,2,0.50,154.08,0.00,N/A
104.19.236.133,4,2,0.50,155.35,0.00,N/A
104.18.222.14,4,2,0.50,155.55,0.00,N/A
104.18.221.13,4,2,0.50,155.93,0.00,N/A
104.19.85.33,4,2,0.50,156.67,0.00,N/A
104.17.152.37,4,2,0.50,156.72,0.00,N/A
104.19.133.79,4,2,0.50,157.16,0.00,N/A
104.17.173.186,4,2,0.50,157.87,0.00,N/A
104.19.8.46,4,2,0.50,158.08,0.00,N/A
104.19.145.37,4,2,0.50,158.80,0.00,N/A
104.19.163.249,4,2,0.50,158.83,0.00,N/A
104.16.27.68,4,2,0.50,158.90,0.00,N/A
104.19.4.182,4,2,0.50,159.34,0.00,N/A
104.19.134.80,4,2,0.50,159.41,0.00,N/A
104.18.120.253,4,2,0.50,159.99,0.00,N/A
104.19.138.37,4,2,0.50,160.38,0.00,N/A
104.19.247.92,4,2,0.50,160.74,0.00,N/A
104.18.119.227,4,2,0.50,161.19,0.00,N/A
104.19.67.170,4,2,0.50,161.64,0.00,N/A
104.16.138.183,4,2,0.50,162.02,0.00,N/A
104.16.223.25,4,2,0.50,162.09,0.00,N/A
104.19.239.162,4,2,0.50,162.11,0.00,N/A
172.66.40.105,4,2,0.50,162.38,0.00,N/A
104.17.216.55,4,2,0.50,162.45,0.00,N/A
104.19.111.109,4,2,0.50,162.84,0.00,N/A
172.66.1.117,4,2,0.50,163.64,0.00,N/A
172.64.233.169,4,2,0.50,164.31,0.00,N/A
104.18.71.174,4,2,0.50,164.54,0.00,N/A
104.17.165.77,4,2,0.50,165.07,0.00,N/A
104.19.190.64,4,2,0.50,165.18,0.00,N/A
172.64.230.55,4,2,0.50,165.42,0.00,N/A
104.18.121.142,4,2,0.50,165.72,0.00,N/A
172.65.218.188,4,2,0.50,166.03,0.00,N/A
104.19.150.140,4,2,0.50,167.26,0.00,N/A
104.19.63.109,4,2,0.50,167.47,0.00,N/A
172.67.156.158,4,2,0.50,167.60,0.00,N/A
172.65.33.23,4,2,0.50,167.75,0.00,N/A
104.19.121.192,4,2,0.50,167.85,0.00,N/A
104.16.239.187,4,2,0.50,168.05,0.00,N/A
104.19.232.66,4,2,0.50,168.16,0.00,N/A
104.19.65.136,4,2,0.50,168.19,0.00,N/A
104.18.214.78,4,2,0.50,168.38,0.00,N/A
104.19.75.126,4,2,0.50,168.64,0.00,N/A
104.18.4.45,4,2,0.50,168.80,0.00,N/A
104.19.120.222,4,2,0.50,168.92,0.00,N/A
104.18.123.179,4,2,0.50,170.40,0.00,N/A
172.67.252.210,4,2,0.50,170.56,0.00,N/A
104.19.123.0,4,2,0.50,170.68,0.00,N/A
104.19.62.2,4,2,0.50,170.97,0.00,N/A
104.19.104.116,4,2,0.50,171.38,0.00,N/A
172.67.250.128,4,2,0.50,171.48,0.00,N/A
104.18.117.55,4,2,0.50,171.67,0.00,N/A
104.18.224.201,4,2,0.50,171.70,0.00,N/A
104.19.205.205,4,2,0.50,171.78,0.00,N/A
104.16.86.113,4,2,0.50,172.22,0.00,N/A
104.17.40.10,4,2,0.50,172.29,0.00,N/A
104.16.91.145,4,2,0.50,172.34,0.00,N/A
104.19.35.128,4,2,0.50,172.39,0.00,N/A
104.17.163.251,4,2,0.50,172.52,0.00,N/A
104.19.87.145,4,2,0.50,172.96,0.00,N/A
104.18.242.228,4,2,0.50,173.10,0.00,N/A
104.16.139.171,4,2,0.50,173.10,0.00,N/A
104.19.195.63,4,2,0.50,173.56,0.00,N/A
172.67.128.58,4,2,0.50,173.93,0.00,N/A
104.18.70.209,4,2,0.50,174.33,0.00,N/A
104.17.193.242,4,2,0.50,174.35,0.00,N/A
104.18.25.89,4,2,0.50,174.38,0.00,N/A
104.19.129.90,4,2,0.50,174.43,0.00,N/A
172.67.161.50,4,2,0.50,174.44,0.00,N/A
104.16.220.147,4,2,0.50,174.57,0.00,N/A
104.16.218.236,4,2,0.50,174.83,0.00,N/A
104.19.89.80,4,2,0.50,174.96,0.00,N/A
104.19.91.206,4,2,0.50,175.26,0.00,N/A
104.16.221.93,4,2,0.50,175.32,0.00,N/A
104.16.134.235,4,2,0.50,175.68,0.00,N/A
104.19.103.229,4,2,0.50,175.89,0.00,N/A
104.19.151.101,4,2,0.50,176.04,0.00,N/A
104.16.227.232,4,2,0.50,176.30,0.00,N/A
104.16.96.202,4,2,0.50,176.38,0.00,N/A
172.65.10.252,4,2,0.50,176.43,0.00,N/A
172.67.242.150,4,2,0.50,176.62,0.00,N/A
172.67.158.207,4,2,0.50,176.66,0.00,N/A
172.67.227.34,4,2,0.50,176.68,0.00,N/A
172.67.246.149,4,2,0.50,176.82,0.00,N/A
104.17.104.125,4,2,0.50,176.85,0.00,N/A
104.19.37.16,4,2,0.50,177.02,0.00,N/A
104.18.124.30,4,2,0.50,177.10,0.00,N/A
104.19.34.9,4,2,0.50,177.12,0.00,N/A
104.17.90.227,4,2,0.50,177.17,0.00,N/A
172.67.236.40,4,2,0.50,177.41,0.00,N/A
172.65.244.35,4,2,0.50,177.45,0.00,N/A
104.19.43.142,4,2,0.50,177.51,0.00,N/A
104.19.13.33,4,2,0.50,178.04,0.00,N/A
104.19.3.239,4,2,0.50,178.33,0.00,N/A
104.17.102.35,4,2,0.50,178.49,0.00,N/A
104.18.216.197,4,2,0.50,178.75,0.00,N/A
172.67.154.167,4,2,0.50,178.87,0.00,N/A
104.24.199.25,4,2,0.50,179.50,0.00,N/A
104.19.157.131,4,2,0.50,179.67,0.00,N/A
104.19.139.130,4,2,0.50,179.72,0.00,N/A
104.18.60.221,4,2,0.50,179.93,0.00,N/A
104.16.89.1,4,2,0.50,180.01,0.00,N/A
104.19.251.94,4,2,0.50,180.72,0.00,N/A
104.16.131.44,4,2,0.50,180.79,0.00,N/A
104.19.119.65,4,2,0.50,180.98,0.00,N/A
104.19.148.56,4,2,0.50,181.32,0.00,N/A
104.18.249.42,4,2,0.50,181.39,0.00,N/A
104.19.73.118,4,2,0.50,181.42,0.00,N/A
104.25.111.182,4,2,0.50,181.51,0.00,N/A
104.19.26.110,4,2,0.50,182.16,0.00,N/A
104.19.203.143,4,2,0.50,182.24,0.00,N/A
104.18.181.2,4,2,0.50,182.48,0.00,N/A
172.65.159.152,4,2,0.50,182.66,0.00,N/A
104.18.113.237,4,2,0.50,182.72,0.00,N/A
104.18.68.42,4,2,0.50,182.91,0.00,N/A
172.67.157.23,4,2,0.50,183.19,0.00,N/A
172.66.216.87,4,2,0.50,183.27,0.00,N/A
172.67.249.85,4,2,0.50,183.63,0.00,N/A
172.67.244.99,4,2,0.50,183.75,0.00,N/A
104.19.249.148,4,2,0.50,184.28,0.00,N/A
104.20.63.102,4,2,0.50,184.53,0.00,N/A
104.16.217.180,4,2,0.50,184.86,0.00,N/A
104.18.167.75,4,2,0.50,184.91,0.00,N/A
104.16.90.217,4,2,0.50,185.49,0.00,N/A
104.17.17.46,4,2,0.50,185.66,0.00,N/A
104.18.225.217,4,2,0.50,185.99,0.00,N/A
172.67.155.227,4,2,0.50,186.28,0.00,N/A
104.19.254.195,4,2,0.50,186.66,0.00,N/A
172.67.234.102,4,2,0.50,186.66,0.00,N/A
172.67.240.39,4,2,0.50,186.92,0.00,N/A
104.29.154.135,4,2,0.50,187.03,0.00,N/A
104.16.225.176,4,2,0.50,187.14,0.00,N/A
104.26.14.184,4,2,0.50,187.39,0.00,N/A
104.19.235.66,4,2,0.50,187.53,0.00,N/A
104.17.106.148,4,2,0.50,188.10,0.00,N/A
172.65.29.133,4,2,0.50,188.14,0.00,N/A
104.19.230.183,4,2,0.50,188.41,0.00,N/A
104.17.202.208,4,2,0.50,189.24,0.00,N/A
172.65.78.213,4,2,0.50,189.38,0.00,N/A
104.16.219.235,4,2,0.50,189.55,0.00,N/A
104.17.45.73,4,2,0.50,189.62,0.00,N/A
104.18.211.22,4,2,0.50,189.81,0.00,N/A
104.19.66.59,4,2,0.50,189.88,0.00,N/A
104.16.233.90,4,2,0.50,190.11,0.00,N/A
172.67.224.32,4,2,0.50,190.23,0.00,N/A
104.19.55.60,4,2,0.50,190.48,0.00,N/A
104.16.229.20,4,2,0.50,190.81,0.00,N/A
172.65.59.96,4,2,0.50,191.30,0.00,N/A
104.18.218.74,4,2,0.50,191.32,0.00,N/A
